ID,collision_frame,entry_frame,evasion_space,entry_side
000001,32,24,0,RIGHT
000003,31,20,1,RIGHT
000005,30,4,0,RIGHT
000007,31,30,0,LEFT
000009,35,30,1,LEFT
000013,45,1,0,LEFT
000015,49,28,0,RIGHT
000016,42,35,0,LEFT
000018,40,38,0,RIGHT
000021,31,31,1,LEFT
000023,38,2,0,LEFT
000026,36,35,0,LEFT
000027,35,24,0,RIGHT
000028,37,28,0,RIGHT
000030,34,36,0,LEFT
000037,34,31,1,LEFT
000039,30,4,0,RIGHT
000040,31,16,0,LEFT
000042,35,28,0,LEFT
000043,36,33,0,LEFT
000044,34,26,0,LEFT
000045,43,37,1,LEFT
000046,38,15,0,LEFT
000049,33,32,0,LEFT
000052,44,36,0,RIGHT
000053,33,22,1,RIGHT
000054,37,22,0,RIGHT
000060,31,22,0,RIGHT
000061,30,24,0,LEFT
000062,43,36,0,RIGHT
000065,39,35,1,LEFT
000066,30,32,1,LEFT
000070,40,23,1,LEFT
000076,30,18,1,RIGHT
000078,30,29,0,RIGHT
000081,30,27,1,LEFT
000085,30,24,0,LEFT
000088,39,38,1,LEFT
000091,42,42,0,LEFT
000092,31,28,1,LEFT
000093,32,31,0,LEFT
000094,30,27,1,LEFT
000095,34,27,1,RIGHT
000099,34,26,1,LEFT
000107,44,42,1,RIGHT
000109,30,18,0,RIGHT
000116,35,24,0,RIGHT
000122,30,29,0,RIGHT
000126,30,21,0,RIGHT
000129,40,35,1,LEFT
000130,32,43,0,LEFT
000131,31,30,0,LEFT
000134,32,40,0,LEFT
000140,32,33,0,LEFT
000142,30,19,1,LEFT
000143,39,36,1,LEFT
000145,30,21,1,LEFT
000150,40,32,0,RIGHT
000152,32,27,1,RIGHT
000155,40,32,1,LEFT
000162,39,29,1,LEFT
000163,34,29,1,RIGHT
000164,43,40,0,LEFT
000169,30,23,0,LEFT
000171,30,30,0,LEFT
000174,30,31,0,RIGHT
000175,30,18,1,RIGHT
000176,30,29,0,RIGHT
000178,30,22,1,RIGHT
000186,30,25,1,LEFT
000189,30,25,1,LEFT
000190,30,38,0,LEFT
000195,30,27,1,RIGHT
000200,30,22,1,RIGHT
